"";"titulo"
"1192";"Visualization of Gene Expression Data & How to Successfully Start a New Job"
"1193";"Intro a ""R"" en el mundo de Ciencia de Datos y presentación de la comunidad."
"1194";"Ciencia de datos con R [Codelab]"
"1195";"Herramientas de IA para resolver tu primera Datathon"
"1196";"Primera Reunión de R-Ladies Buenos Aires"
"1197";"Taller de R para Ciencia de Datos. Parte I"
"1198";"Taller de R para Ciencia de Datos (Parte II) - Niveles inicial e intermedio"
"1199";"Aplicaciones intermedias y avanzadas de R"
"1200";"Taller de Datos Geográficos con R + Intro a Shiny"
"1201";"Taller de Shiny + Clínica de Proyectos"
"1202";"R Markdown y cierre del año!"
"1203";"Segunda Temporada de Meetups de R-Ladies Buenos Aires"
"1204";"Taller ""R desde cero"" + Charla ""Indicadores de desigualdad de género"" "
"1205";"¡Nos visita Tamara Broderick!               <U+0001F3A5>"
"1206";"De SPSS a R <U+0001F3A5>"
"1207";"¡Nos visita Jenny Bryan!"
"1208";"¡Último meetup del año! ¡Traé tu compu, llevate tu web programada con R! <U+0001F3A5>"
"1209";"Taller de visualización con R, charlas y arranque del año!"
"1210";"Web Scraping con Rvest en Spotify Charts + R con datos meteorológicos"
"1211";"Taller de Git y RStudio"
"1212";"¡Nos visita Erin LeDell! "
"1213";"Taller ""R para nerds"" en NERDEARLA"
"1214";"¡último meetup del año!"
"1215";"1º MeetUp R-Ladies São Paulo"
"1216";"2º MeetUp R-Ladies São Paulo"
"1217";"3º MeetUp R-Ladies SP: Comunicando seus resultados e criando apresentações com R"
"1218";"4º MeetUp R-Ladies SP: Dados Abertos com R - Primeiros Passos"
"1219";"5º MeetUp R-Ladies SP (e o 1º de 2019!): Minicurso de Introdução ao R"
"1220";"6º MeetUp R-Ladies SP: Minicurso Intermediário de R"
"1221";"7º MeetUp R-Ladies SP: Extração de dados do Google Analytics + purrr"
"1222";"8º MeetUp R-Ladies SP: Jornalismo de Dados: do básico à reportagem"
"1223";"9º MeetUp R-Ladies SP: Fundamentos em R"
"1224";"10º MeetUp R-Ladies SP:  Cases de DataViz com R"
"1225";"11º MeetUp - R-Ladies São Paulo completa 1 ano!!!!"
"1226";"12º MeetUp R-Ladies SP: Introdução ao Git e GitHub"
"1227";"13º Meetup - Edição Especial Outubro Rosa: CONRE-3 & R-Ladies São Paulo"
"1228";"14º Meetup R-Ladies São Paulo - Machine Learning"
"1229";"15º Meetup R-Ladies São Paulo - A arte de se Comunicar"
"1230";"new yeaR's Resolution: moRe R"
"1231";"Introduction to R"
"1232";"Data Wrangling in R"
"1233";"Data Visualization with ggplot2"
"1234";"R-Ladies Kick-off: Meet, greet, treat + code!"
"1235";"R-Ladies Meeting: ggplot2 workshop"
"1236";"R-Ladies Meeting: R Markdown for reproducible reports"
"1237";"September Meetup - Welcome back!"
"1238";"September Meetup - Welcome back!"
"1239";"R-Ladies Meeting: Introduction to Shiny"
"1240";"R-Ladies Meeting: Data Cleaning &Introduction to Social Network Analysis."
"1241";"R-Ladies Meeting: Introduction to dplyr"
"1242";"R-Ladies Meeting: Introduction to Machine Learning and Deep Learning"
"1243";"R-Ladies Meeting: Analyzing the impact of all-women tech groups"
"1244";"Introduction to Git and Github"
"1245";"R-Ladies Meeting: Introduction To R"
"1246";"R-Ladies Meeting: DashR by Ryan Kyle "
"1247";"R-Ladies Meeting: dplyr workshop"
"1248";"Reunámonos para nuestro primer acercamiento."
"1249";"Introducción a R y R Studio"
"1250";"Segunda reunión R-Ladies / ggplot2"
"1251";"Tercera reunión R-Ladies / R Markdown"
"1252";"Cuarta reunión R-Ladies / shiny"
"1253";" R-Ladies / Aplicaciones en Shiny"
"1254";"R-Ladies / Dplyr "
"1255";"Seminario Web "
"1256";"Administración de Datos con R"
"1257";"Administración de Datos con R"
"1258";"Sesión de preguntas abiertas"
"1259";"Exploremos el paquete dplyr con el conjunto de datos del BID"
"1260";"Conferencia: “How to be a resilient R user?”"
"1261";"Programación con R "
"1262";"Introducción a los Modelos Bayesianos con R"
"1263";"Introducción a Bookdown"
"1264";"Introducción a Xaringan"
"1265";"Introducción a dplyr"
"1266";"Introducción a Purrr"
"1267";"R-Ladies Nashville Kickoff!"
"1268";"December Meetup: data.table package"
"1269";"January Meetup: R Resources & Help"
"1270";"February Meetup: RStudio Conference Highlights!"
"1271";"March Meetup: Intro to Shiny"
"1272";"An R + Github Journey"
"1273";"Working with Pipes %>% + GIS Tutorial"
"1274";"Introduction to purrr"
"1275";"Play in the snow, then clean up your mess!"
"1276";"Introduction to Data Cleaning with dataMaid"
"1277";"Dynamically Generated Tables in Shiny with Judy Lewis"
"1278";"Networking lunch with RStudio!"
"1279";"Benchmarking using Tidyverse Data Management & Medicare Public Use Files"
"1280";"Data Science Workflows in R"
"1281";"Getting Started with Shiny!"
"1282";"Using R in Supply Chain Analytics"
"1283";"Package Development in R"
"1284";"Primera reunión de R-Ladies Santiago"
"1285";"Segunda reunión de R-Ladies Santiago"
"1286";"Tercera reunión de RLadies Santiago"
"1287";"Reunión de cierre año 2017"
"1288";"¡Primer meetup de la temporada 2018!"
"1289";"Taller: primeros pasos en R"
"1290";"Taller de visualización de datos con ggplot2"
"1291";"Datos espaciales en R"
"1292";"Modelos predictivos usando R"
"1293";"¿Cómo crear un paquete en R?"
"1294";"Usos de R en Ciencias Sociales y Humanidades: sesión 1"
"1295";"¡Celebramos un año! Taller sobre RMarkdown + planes para el futuro"
"1296";"Usos de R en Ciencias Sociales y Humanidades: sesión 2"
"1297";"Usos de R en Ciencias Sociales y Humanidades: sesión 3"
"1298";"Usos de R en Ciencias Sociales y Humanidades: web scraping"
"1299";"Introducción a la programación con R"
"1300";"Regresión lineal con R"
"1301";"Mentoría: desarollo de propuestas para LatinR 2019"
"1302";"#DatosDeMiercoles + Taller sobre Shiny"
"1303";"Análisis de textos usando R: un taller a dúo entre RLadies SCL y RLadies CDMX"
"1304";"Taller sobre extracción de tablas + modelos compilados (¡hubo cambio de tema!)"
"1305";"Taller sobre RMarkdown (+ reseña useR! 2019)"
"1306";"Mentoría: postulación becas de diversidad rstudio::conf 2020"
"1307";"Inaugural Meetup of R-Ladies Dublin"
"1308";"R-Ladies Dublin - Introduction to R"
"1309";"Data Import into R - workshop"
"1310";"Web scraping with R"
"1311";"R-Ladies May Meetup"
"1312";"Storytelling based on Gravity Anomaly Data - Thursday 29th June"
"1313";"R-Ladies Dublin - Hands-on knowledge-sharing workshop in R"
"1314";"Unravelling census data"
"1315";"Linear regression with R"
"1316";"R-Ladies November Meetup - My 1st Shiny App"
"1317";"Learn to write packages in R"
"1318";"Reproduce your analysis with R Markdown"
"1319";"How to do Sentiment Analysis in R? "
"1320";"Women in Tech Meet Up Summit"
"1321";"How to create choropleth maps in R"
"1322";"Diversity in Data R workshop"
"1323";"R-Ladies Dublin December meetup"
"1324";"Create great data visualisations with ggplot "
"1325";"Deep Learning in R"
"1326";"An introduction to Random Forests using R - RLadies June meetup"
"1327";"Primeiro Meetup R-Ladies Rio"
"1328";"2º Meetup R-Ladies Rio"
"1329";"3º Meetup R-Ladies Rio"
"1330";"4º Meetup R-Ladies Rio"
"1331";"Meetup R-Ladies Rio de Janeiro Outubro 2019 "
"1332";"Kickoff Meeting! "
"1333";"Intro to dplyr & ggplot2 with Marieke Jones"
"1334";"Lightning Talk Writing Workshop"
"1335";"Let's make a website!"
"1336";"Using Git + GitHub with R"
"1337";"Summer of Data Science Book Club"
"1338";"Summer of Data Science Book Club"
"1339";"Summer of Data Science Book Club"
"1340";"Summer of Data Science Book Club"
"1341";"Summer of Data Science Book Club"
"1342";"Summer of Data Science Book Club"
"1343";"Social Media Analysis with R"
"1344";"December Meetup: Drinks + Data! "
"1345";"Intro to RMarkdown & the Tidyverse: a Joint Meetup with RLadies & UvaR"
"1346";"Package Development Workshop"
"1347";"RLadies Cville turns 2! "
"1348";"Github for the UseR"
"1349";"Welcome to the first meetup of R-Ladies in Chennai!"
"1350";"Welcome to the second meetup of R-Ladies Chennai!"
"1351";"Welcome to the third meetup of R-Ladies Chennai!"
"1352";"Welcome to the next meetup of R-Ladies Chennai!"
"1353";"Welcome to the next meetup of R-Ladies Chennai! "
"1354";"First meetup of R-Ladies Brussels: networking and social"
"1355";"Building Shiny apps"
"1356";"R-Ladies: Data science in R - lightning talks"
"1357";"R-Ladies Brussels Workshop Series: Data visualization with ggplot2 "
"1358";"Introduction to Roxygen2 and Lavaan packages "
"1359";"R-Ladies Brussels workshop series: R for beginners/ R pour les débutants"
"1360";"API's and webscraping: Getting data from the web straight into R"
"1361";"R for beginners, part 2"
"1362";"r and data science social"
"1363";"data caffeine"
"1364";"First Meeting Meet and Greet and Mini RMarkdown Tutorial"
"1365";"CANCELED - Maps with ggplot2"
"1366";"Introduction to Shiny Apps"
"1367";"Lightning Round Talks"
"1368";"Maps with ggplot2"
"1369";"Book Club: ""R for Data Science"" Chapters 1 - 8"
"1370";"Jenny Bryan and Hadley Wickham on R"
"1371";"Book Club: ""R for Data Science"" Chapters 9 - 16"
"1372";"Book Club: ""R for Data Science"" Chapters 17 - 21"
"1373";"Exploring US Census Data"
"1374";"Book Club: ""R for Data Science"" Chapters 22 - 25"
"1375";"Mini-hackathon on San Diego Traffic Data"
"1376";"Blogdown Tutorial: Build Your Own Website"
"1377";"One Year Anniversary and Summer Picnic"
"1378";"Exploring Kaggle competitions: ""Titanic: Machine Learning from Disaster"""
"1379";"Web Scraping Tutorial and Practice"
"1380";"Holiday Get Together"
"1381";"Mini-hackathon on Harassment and Bias in Language Research"
"1382";"Sentiment Analysis in R - Valentine's Day Edition!"
"1383";"Getting a Job in Data Science"
"1384";"satRdays at UCLA - anyone up for a Road Trip?"
"1385";"Let's play with Shiny - special guest speaker Katie"
"1386";"Work with databases directly from R - special guest speaker Amy"
"1387";"POSTPONED aRt and beeR"
"1388";"R for Beginners"
"1389";"Welcome to the tidyverse! AKA: R for beginners 2.0"
"1390";"aRt and beeR"
"1391";"Using git and GitHub with RStudio"
"1392";"Come and meet the R-Ladies community in Cape Town"
"1393";"August R-Ladies"
"1394";"October R-Ladies Meetup: Tidyverse"
"1395";"Datavis with ggplot2 // What R-Ladies get up to in Tbilisi, Georgia"
"1396";"December R-Ladies Meetup: Regular Expressions"
"1397";"Planning 2018 R-Ladies Meetups"
"1398";"R-Ladies satRday event: Blogs with R "
"1399";"Docker for Data Science"
"1400";"Network visualisations in R"
"1401";"R-Ladies CT Double-Whammy Winter Warmer"
"1402";"Mapping in R"
"1403";"What's in a date?"
"1404";"September meetup"
"1405";"Data Science at the City of Cape Town"
"1406";"Spreading the R love!"
"1407";"Zindi: Practice your model building to solve Africa's most pressing problems"
"1408";"Eagles and predictive modelling in R"
"1409";"Applications of R: From detecting marine heatwaves to mapping out school data"
"1410";"Hidden Markov Models - An introduction"
"1411";"#TidyTuesday Practical Session"
"1412";"Introduction to Natural Language Processing"
"1413";"Launch Meetup"
"1414";"Introduction to R ( Part of Beginners R Workshops)"
"1415";"Data Visualization with ggplot2"
"1416";"Data Transformation with dplyr Part 1"
"1417";"Data Transformation with dplyr Part 2"
"1418";"Start 2018 with a bang! "
"1419";"Active Data Analysis"
"1420";"Women in Data Science @UCF"
"1421";"Patchwork Orlando (GitHub workshop)"
"1422";"Advanced Data Wrangling with dplyr: Part I"
"1423";"Deep Learning with R"
"1424";"One Year Anniversary "
"1425";"R Beginner series: Part 1 Introduction to R and RStudio "
"1426";"R Beginner series: Part 2 Visualization with ggplot2"
"1427";"Women In Data Science (WiDS) Conference -UCF"
"1428";"R Beginner series: Introduction to dplyr"
"1429";"R Beginner series: Introduction to dplyr II"
"1430";"R-Ladies Strasbourg Introductory meetup"
"1431";"Fouille de textes avec R: expression régulier."
"1432";"Statistics et analyse de données avec R"
"1433";"Outils et modèles statistiques pour l'allocation dynamique"
"1434";"Fluctuat nec mergitur - comment être un·e utilisateur·rice de R résistant·e"
"1435";"Reticulate: interface entre R et Python"
"1436";"Analyse en Composant Principal (ACP) et cluster avec le package FactoMineR"
"1437";"Données en grande dimension et médecine de précision : promesses  et défis."
"1438";"Modélisation statistique : exemple pratique avec R et RShiny"
"1439";"Intro R Workshop"
"1440";"R tutorial Part II"
"1441";"BLIND DATE WITH YOUR CSV FILE"
"1442";"Analyzing Likert Scale Data"
"1443";"Text mining"
"1444";"Hadley Wickham - invited talk"
"1445";"Exploring The Redacted Mueller Report"
"1446";"Finding and Analyzing Public Data"
"1447";"Exploratory Data Analysis & Adventures in R"
"1448";"Creating Projects and Organizing your Data and Code"
"1449";"Comicbook Tidy Tuesday data - Workshop led by Heidi Steiner"
"1450";"1º Meetup R-Ladies Curitiba"
"1451";"Introduction to R (beginners and pre-beginners)"
"1452";"R & Coffee"
"1453";"Tech in Motion SF Presents: Women in Engineering!"
"1454";"R & Coffee"
"1455";"Saturday Open Hack"
"1456";"Computing for Data Analysis (Week 1)"
"1457";"Computing for Data Analysis (Week 2)"
"1458";"Computing for Data Analysis (Week 3)"
"1459";"Let's meetup and work on our R projects"
"1460";"An Evening with Tammy Lee of Allstate Insurance Company & Bay Area Analytics"
"1461";"Stanford Online Class Statistical Learning - Week 1"
"1462";"Stanford Online Class Statistical Learning - Week 2"
"1463";"Stanford Online Class Statistical Learning - Week 3"
"1464";"Stanford Online Class Statistical Learning - Week 4"
"1465";"Stanford Online Class Statistical Learning - Week 5"
"1466";"Stanford Online Class Statistical Learning - Week 6"
"1467";"Stanford Online Class Statistical Learning - Week 7"
"1468";"Stanford Online Class Statistical Learning - Week 8"
"1469";"Ladies' Night - Empowering Women in the Workplace"
"1470";"Stanford Online Class Statistical Learning - Week 9"
"1471";"useR! 2014"
"1472";"Kaggle Competition - Part I"
"1473";"Kaggle Competition - Part II"
"1474";"Kaggle Competition - Part III"
"1475";"Women's Communities Meetup (part of the Strata Conference)"
"1476";"Applying R to develop Public Transit Metrics"
"1477";"Analyzing US Census Data with R"
"1478";"Make a Census Explorer with Shiny!"
"1479";"R-Ladies Attend SF Uncubed (Paid Event)"
"1480";"Faster data manipulation with dplyr (tutorial + hands-on)"
"1481";"useR! 2016"
"1482";"Product Analytics: Transforming Social Data into Actionable Insights"
"1483";"R-Ladies Co-Work Group"
"1484";"R-Ladies Co-Work Group"
"1485";"R-Ladies Co-Work Group"
"1486";"Working with Data in Open Source Research: hosted by The Wikimedia Foundation"
"1487";"Make and host your own blog using R and GitHub"
"1488";"RShiny -  How to get started  + tricks and tips"
"1489";"R Visualization Bonanza"
"1490";"Beyond Bean Counting: Measuring Open Source Engagement Beyond Commits and Stars"
"1491";"Introduction to Deep Learning with R using Keras and TensorFlow"
"1492";"R-Ladies + Hadley Wickham: Making your R code purrr with functional programming"
"1493";"Automatic Machine Learning in R with H2O"
"1494";"Create yourself - talk/workshop"
"1495";"R Programming - Best Practices Workshop"
"1496";"Rsample Sampler: Resampling in R"
"1497";"ggplot2 and the scales package: A tour on my summer internship at RStudio"
"1498";"Working together with Github"
"1499";"Lightning Talks!"
"1500";"Workshop: A friendly introduction to writing an R package (+ bonus talk)"
"1501";"NLP in healthcare + Functions, Packages and Visualization in R"
"1502";"Mini Hackathon: Building a deep learning powered application in R"
"1503";"Bayesian analysis in R via stan + a bonus talk"
"1504";"R-Ladies SF Botanical Garden Social"
"1505";"August Talks: R, Machine Learning, Data Science, Data & Clinical Trial!"
"1506";"Workshop: Transitioning into the tidyverse"
"1507";"December meetup: Lightning Talks!"
"1508";"Welcome to R-Ladies Montenegro!"
"1509";"R-Ladies DC Launch"
"1510";"Rise & Shiny [1] Semantic UI in Shiny Apps and on Shiny Servers"
"1511";"R Ladies + Open Data Day Mini-Hack"
"1512";"Advanced R study group"
"1513";"Shiny + Databases"
"1514";"Advanced R study group: Chapter 2"
"1515";"R Beginners - Orientation "
"1516";"Personal Website Workshop: R Blogdown + Github"
"1517";"R Beginners - Second Session"
"1518";"R Beginners - Third Session"
"1519";"Fall R Community Networking Event"
"1520";"Introduction to Shiny Application Development"
"1521";"R Beginners - Orientation "
"1522";"Enron data series: Get your data into shape"
"1523";"R Beginners - Second Session"
"1524";"R Beginners - Third Session"
"1525";"Rise & Shiny - Interactive Maps (Leaflet)"
"1526";"Rise & Shiny - googlesheets Integration"
"1527";"R-Ladies DC Hosts Hadley Wickham"
"1528";"Summer of Data Science Social Jam #SoDS18"
"1529";"Intro to Contribution and Collaboration in R: A Hands-on GitHub Workshop"
"1530";"Workshop Leaders and Organizer Team Interest Meeting"
"1531";"R-Ladies Summer End Social"
"1532";"Data Science Portfolios and Dream Jobs with Rachael Tatman (from Kaggle!) "
"1533";"Beer tasting and analysis of resultant data"
"1534";"Interactive data visualization in R"
"1535";"First Thursdays: How to Craft a Lightning Talk"
"1536";"DC R Conference Social: An Evening of Lightning Talks"
"1537";"TICKETS REQUIRED: SatRday DC Community Conference"
"1538";"RLadies DC Book Club - Programmed Inequality"
"1539";"Interactive programming with R Markdown"
"1540";"RLadies DC Bookclub - The Theory That Would Not Die"
"1541";"Women in Data Science (WiDS) 2019 DC Event **Registration Required**"
"1542";"R-Ladies and American University Host: Garrett Grolemund from RStudio"
"1543";"RLadiesDC BooksNBars - Brave, Not Perfect: Fear Less, Fail More, and Live Bolder"
"1544";"DVDC and RLadies Host: Interactive Data Visualization in R & Viz-and-Tell"
"1545";"RLadiesDC Books N Bars - Why Do So Many Incompetent Men Become Leaders?"
"1546";"RLadiesDC Books N Bars - Women in Tech: Take Your Career to the Next Level"
"1547";"Data science and visualisations for researchers"
"1548";"Data Science Best Practices"
"1549";"Beer tasting and analysis of resultant data"
"1550";"Job hunting and salary negotiation"
"1551";"Books In Bars - Lab Girl: A story of trees, science, and love"
"1552";"Build a career in data science"
"1553";"Books In Bars - My Own Words by RBG"
"1554";"Data manipulation in R with dplyr and tidyr"
"1555";"Data visualization in R with ggplot2"
"1556";"Getting data into R"
"1557";"Everything R Markdown — reports, notebooks, and flexdashboard"
"1558";"R / git / GitHub"
"1559";"Interactive visualizations with Shiny"
"1560";"R-Ladies Data Hackathon"
"1561";"Discussion of Women in Data Science"
"1562";"R-Ladies Chat"
"1563";"All about tibbles"
"1564";"Functional programming with purrr"
"1565";"RTP Happy Hour!"
"1566";"Working with web APIs in R"
"1567";"Book Club"
"1568";"Book Club"
"1569";"End of the Year Potluck with PyLadies RDU"
"1570";"Book Club"
"1571";"Book Club"
"1572";"Book Club"
"1573";"Exploring ggplot2"
"1574";"Book Club"
"1575";"Contributing to Open Source Software with Mara Averick!"
"1576";"Book Club"
"1577";"tidytext with Julia Silge"
"1578";"Book Club"
"1579";"Dinner with R-Ladies"
"1580";"Exploring Spatial Data with sf "
"1581";"Data Science Panel"
"1582";"Holiday Potluck for ALL the Women in Our Circle of Groups"
"1583";"R-Ladies RTP Happy Hour!"
"1584";"Data Visualization in R with ggplot2"
"1585";"#tidytuesday Work Group"
"1586";"#tidytuesday Work Group + Farewell to Mine"
"1587";"Project Workflow Using R"
"1588";"#tidytuesday Work Group"
"1589";"#tidytuesday Work Group"
"1590";"Blogdown Basics"
"1591";"Introduction to R Markdown"
"1592";"#tidytuesday Work Group"
"1593";"Reading Data from PDFs"
"1594";"#tidytuesday Work Group"
"1595";"RLadies + Taller de introducción a la programación en R"
"1596";"Visualización de datos con ggplot y gganimate"
"1597";"1º Meetup R-Ladies Belo Horizonte"
"1598";"Curso Prático - Introdução ao R (Aprenda ou Relembre)"
"1599";"2º Meetup R-Ladies Belo Horizonte"
"1600";"Curso Prático - Introdução ao R (Aprenda ou Relembre)"
"1601";"Data Ladies"
"1602";"R-Ladies Belo Horizonte - 1 Year. :)"
"1603";"Introdução ao R - We R Ladies"
"1604";"R Intermediário - We R Ladies"
"1605";"R Avançado - We R Ladies"
"1606";"We R Ladies - AutoML Usando R"
"1607";"R-Ladies Bari: pronti?!"
"1608";"R-Ladies Bari: Primi passi in R-Studio"
"1609";"Manipolare i dati con Tidyverse "
"1610";"STEM - Un gioco da ragazze"
"1611";"Come R ci aiuta a svelare i misteri della mente"
"1612";"Data Visualization with GGPLOT2"
"1613";"useR!2019 conference & tutorial: 'Statistical Data Cleaning using R'"
"1614";"Rladies Bari - Nuovo evento: Buone abitudini per programmatori"
"1615";"Kickoff event!"
"1616";"Workshop of R for beginners"
"1617";"2nd workshop - Data exploratory & visualization"
"1618";"Real usecase of applying data science on real problem-Special guest: HeartInData"
"1619";"Beginner Statistic workshop in R"
"1620";"Workshop: Regression analysis using R with practical project"
"1621";"Risk management based on Bayesian Networks "
"1622";"Create yourself workshop"
"1623";"Statistic - Hypothesis testing workshop"
"1624";"Advanced Analytics & Machine Learning Case Study in Insurance by GENERALI"
"1625";"Geospatial Analysis using Amazon Forest dataset"
"1626";"End year Aperitivo"
"1627";"Network Analysis for community detection in R"
"1628";"Women in Data Science (WIDS) Milan Conference"
"1629";"Open Challenges in a Data Science Team"
"1630";"How to communicate your results with Rmarkdown & Knitr"
"1631";"#Tidytuesday workshop"
"1632";"#Tidytuesday workshop"
"1633";"Launching Rladies New York!"
"1634";"R-Ladies New York Lecture Series: A focus on Health"
"1635";"First Book Club Event"
"1636";"Tour of R in Peer to Peer Lending"
"1637";"R-ladies Book Club :  Weapons of Math Destruction"
"1638";"R-Ladies Social"
"1639";"Data Visualization Workshop in R"
"1640";"R Ladies book club: Truth or Truthiness"
"1641";"Data Dive Night with Data for Democracy"
"1642";"R in the world of Education"
"1643";"R Ladies Workshop - Functional Programming with Purrr"
"1644";"R Ladies book club: Everybody Lies"
"1645";"Create Websites in R and A Data Science Update."
"1646";"Parallelization of Simulations with the foreach Package and Missing Data in R"
"1647";"Tidy evaluation: Programming with ggplot2 and dplyr"
"1648";"R-Ladies Book Club: Story Telling with data"
"1649";"Introduction to Shiny Apps using NBA data"
"1650";"R-Ladies Lightning Talks"
"1651";"R-Ladies Book Club: Artificial Unintelligence"
"1652";"Building Infrastructure with R"
"1653";"Learn OOP and discover cool finance packages in R"
"1654";"Parallel Computing in R "
"1655";"R-Ladies Book Club: R Packages by Hadley Wickham"
"1656";"Reproducibility and Communication in R"
"1657";"R-ladies New York End of Year Social"
"1658";"Git with Joyce"
"1659";"R-Ladies Book Club: Algorithms to Live By"
"1660";"Building Pipelines with Text and Data"
"1661";"R Package Workshop"
"1662";"Data Science Journeys and Fantasy Baseball with R"
"1663";"R-Ladies Book Club"
"1664";"R-Ladies Lightning Talks! "
"1665";"R-Ladies Summer Social (with Board Games!)"
"1666";"Back to WoRk(flows)"
"1667";"R-Ladies Book Club"
"1668";"The Superlearner with sl3 and Parameterizing R Markdown Reports "
"1669";"Using R to Make Psychological Scales and Data Dictionaries"
"1670";"R-Ladies Book Club"
"1671";"R in healthcare: ensuring data quality and conducting survival analyses"
"1672";"End-of-Year Celebration with Jenny Bryan"
"1673";"R-Ladies Code-llaboration Hangout"
"1674";"Kickoff Meet"
"1675";"Meetup 1: Using trees and networks in R"
"1676";"Kick-off meeting"
"1677";"R-Ladies Lexington Park Launch"
"1678";"R-Ladies Ottawa Launch Event"
"1679";"R-Ladies June Event"
"1680";"R-Ladies Ottawa - Fall Event"
"1681";"Primer meetup de R-Ladies Cuernavaca: Introducción a R y RStudio"
"1682";"Meet and Greet"
"1683";"Light chat"
"1684";"BuffaloR and R-LadiesBuffalo Combo Meeting"
"1685";"R-Ladies Buffalo and BuffaloR Combo meeting"
"1686";"Primer Meetup de RLadiesCDMX"
"1687";"¡Segunda reunión R-Ladies CDMX!"
"1688";"Tercer Meetup en el encuentro de Usuarixs de R"
"1689";"Cuarto Meetup de RLadies: 20 funciones para perderle el miedo a R "
"1690";"¡Sexto Meetup de RLadies!"
"1691";"¡Séptimo Meetup/Taller de RLadies! Twitter y procesamiento de textos"
"1692";"¡Octavo Meetup/Taller de RLadies! Analizando una Encuesta Nacional con R"
"1693";"Ciencia de datos en CDMX: R meets Python"
"1694";"Escribiendo funciones en R con Jenny Bryan"
"1695";"Retos de Navidad en R"
"1696";"[Annual Party <U+5468><U+5E74><U+6176>] R-Laides<U+5169><U+6B72><U+4E86> Celebration for 2-years-old."
"1697";"[Education Series] <U+64C1><U+62B1><U+8DE8><U+754C><U+529B> – CS+X <U+7684><U+65B0><U+65B9><U+5411> p.s. Working With JavaScript In R"
"1698";"<U+65B0><U+5925><U+4F34><U+76F8><U+898B><U+6B61> & R-basic<U+7C4C><U+5099><U+5206><U+7D44>"
"1699";"TW.R x HK.R <U+53F0><U+6E2F><U+793E><U+7FA4><U+4EA4><U+6D41>"
"1700";"[Cloud Platform Series] Shiny on Azure"
"1701";"[Cloud Platform Series] Azure ML Case"
"1702";"[Visualization Series] R <U+722C><U+87F2>"
"1703";"[Visualization Series] NBA <U+8996><U+89BA><U+5316>"
"1704";"[Azure ML Hands-On <U+6230><U+9B25><U+71DF>] 1 - <U+8CC7><U+6599><U+79D1><U+5B78><U+7684><U+5DE5><U+4F5C><U+6D41><U+7A0B>(<U+8ACB><U+5728><U+6587><U+5C3E>GForm<U+5831><U+540D>)"
"1705";"[Visualization Series]  <U+65B0><U+805E><U+8996><U+89BA><U+5316>"
"1706";"[Special Case Series] Digital Humanities in R"
"1707";"Kaggle Cafe"
"1708";"[Security Series] <U+8CC7><U+5B89><U+8207> R"
"1709";"[<U+5973><U+529B> x <U+8CC7><U+6599><U+79D1><U+5B78> x <U+6578><U+64DA><U+61C9><U+7528>] Joint Meetup with PyLadies and Girls in Tech"
"1710";"[Text mining] R<U+8207><U+4E2D><U+6587><U+5206><U+8A5E>"
"1711";"[Crawler] <U+5982><U+4F55><U+7528><U+6578><U+64DA><U+6253><U+9020><U+6700><U+8CBC><U+5FC3><U+7684><U+65C5><U+904A><U+641C><U+5C0B><U+5F15><U+64CE>"
"1712";"<U+5982><U+4F55><U+6253><U+5834><U+9ED1><U+5BA2><U+677E>"
"1713";"[Annual Party <U+5468><U+5E74><U+6176>] R-Laides Taipei <U+4E09><U+6B72><U+4E86> Celebration for 3 years old!!!"
"1714";"R shiny with Azure ML(<U+9650><U+5236><U+5B78><U+751F><U+4EE5><U+8868><U+55AE><U+5831><U+540D>)"
"1715";"[<U+8A9E><U+610F><U+5206><U+6790>] <U+8A9E><U+610F><U+89D2><U+8272><U+6A19><U+8A3B>(semantic role labeling)"
"1716";"[<U+8ACB><U+5728>accupass<U+4E0A><U+5831><U+540D> ]R Ladies Data Viz Open Hack"
"1717";"[Visualization Series]<U+5730><U+7406><U+5716><U+5F62><U+985E><U+7279><U+6B8A><U+6A94><U+6848>"
"1718";"[Special Case Series] <U+8CC7><U+6599><U+8207><U+65B0><U+805E>"
"1719";"[Container Series] <U+5B78><U+7FD2> Kubernetes <U+4E4B><U+524D><U+7684><U+5169><U+4E09><U+4E8B>"
"1720";"[Special Case Series] <U+7D44><U+7E54><U+5167><U+63A8><U+52D5><U+6578><U+64DA><U+8DA8><U+52D5><U+6C7A><U+7B56> Data Science & Data Driven Approach"
"1721";"[AI Series] Azure IoT Edge with AI"
"1722";"[Machine Learning Series] Time series prediction <U+7814><U+7A76><U+5206><U+4EAB>"
"1723";"[Visualization Series] Tableau + R <U+61C9><U+7528>"
"1724";"2018 R-Ladies Taipei Kaggle Competition"
"1725";"[Data Science Series] <U+7576>Julia<U+9047><U+4E0A><U+8CC7><U+6599><U+79D1><U+5B78>"
"1726";"[Visualization Series] Metabase <U+7684><U+4ECB><U+7D39><U+53CA><U+61C9><U+7528>"
"1727";"[Special Series] <U+81C9><U+66F8><U+804A><U+5929><U+6A5F><U+5668><U+4EBA><U+5728><U+96FB><U+5546><U+7684><U+61C9><U+7528>"
"1728";"[Annual Party <U+5468><U+5E74><U+6176>] R-Laides Taipei <U+56DB><U+6B72><U+4E86> Celebration for 4 years old!!!"
