"";"titulo"
"300";"Open data: How to make them Shiny, organise and analyse with SQL in R"
"301";"Women in DS Conference"
"302";"R u analitici semantickog veba: slucaj Wikidata; Izlagac: Dr G. S. Milovanovic "
"303";"H2O R machine learning tutorial by Erin LeDell"
"304";"End of Year Coffee Time"
"305";"R-Ladies Edinburgh Introductory meeting "
"306";"ggplot2 workshop"
"307";"R for Open Science"
"308";"Key Ingredients for Predictive Analytics with R: ‘caret’ and ‘parsnip’"
"309";"Introduction to Bayesian Statistical Modelling using brms"
"310";"R Markdown – from RStudio to Word/PDF/website with a single push of a button"
"311";"R-Ladies Perth Launch Event"
"312";"R Beginner Workshop Series - Data Visualisation Basics"
"313";"R-Ladies at Data Science Week: Reproducible Research with R"
"314";"R-Ladies at Data Science Week: Panel and Sundowner"
"315";"Seminar with Professor Inge Koch"
"316";"Book Club - R for Data Science"
"317";"Book Club - R for Data Science"
"318";"Book Club - R for Data Science"
"319";"Book Club - R for Data Science"
"320";"One Year of R-Ladies Perth"
"321";"1° Meetup R-Ladies Salvador"
"322";"2° Meetup R-Ladies Salvador"
"323";"3° Meetup - Machine Learning with R"
"324";"Meetup R-Ladies Salvador"
"325";"R-Ladies Athens - September meeting"
"326";"R-Ladies December meeting"
"327";"First R-Ladies Event"
"328";"R Ladies Meeting # 2 "
"329";"R Ladies Meet and Greet"
"330";"Kick-off meeting"
"331";"Lightning Talks!"
"332";"Lightning Talks!"
"333";"Lightning Talks!"
"334";"Intro to Data Visualization w/ R"
"335";"Intro to Tidy Data w/ R"
"336";"2018 Holiday DataViz Challenge"
"337";"RStats Workshop Series: Part I (Jan28—>Feb04!)"
"338";"RStats Workshop Series: Part II"
"339";"Introduce a Girl to Engineering"
"340";"RStats Workshop Series: Part III"
"341";"2019 Women in Data Science East Lansing @MSU"
"342";"Data Science Journeys"
"343";"Introduction to R/RStudio"
"344";"Importing & Tidying Data w/ R"
"345";"Data Wrangling & Visualization in R"
"346";"Version Control: GIT with R"
"347";"Shutup & Code"
"348";"R Ladies Meet and Greet"
"349";"From Basics to Big Data: What can R do? "
"350";"R Lunch and Learn"
"351";"Semester Kick-Off!"
"352";"Data Visualization Using ggplot2!"
"353";"R-Ladies Launch with Hadley Wickham"
"354";"Dive into dplyr"
"355";"Lessons and highlights from the rOpenSci project"
"356";"Is Collaboration in Science split along Gender Lines? Network Analysis in R"
"357";"Harry Potter and the Rvest of Fanfiction"
"358";"Dataviz with Summer of Tech"
"359";"Intro to R with Summer of Tech data"
"360";"Creating Maps In R"
"361";"The power of pixels: Using R to explore and exploit features of images"
"362";"Telling Stories With Data"
"363";"Hands-on Intro to SQL and R"
"364";"Using data science in the wild: My data science journey and current work"
"365";"Processing large datasets using R"
"366";"Working with data in elite sport"
"367";"Social Get Together and Lightning Talks"
"368";"PredictHQ's ranking systems and event impact analysis with R"
"369";"Spatial data and making maps in R (using sf and ggplot2)"
"370";"Signed, sealed, delivered: An introduction to developing R packages"
"371";"Dungeons and Dragons: Data exploration and visualisation"
"372";"What R we doing in cancer research?*"
"373";"Reflections from an R Lady in the Untidyverse of Cancer Research"
"374";"*Pre-event*co-learning: dplyr, what happened so far up to episode 8?!"
"375";"dplyr: episode 9, the rise of the vctrs"
"376";"Launch Event! R-Ladies Coding Club Meetup (London)"
"377";"Monthly R Coding Workshop!! (Novice-level)"
"378";"April 5th Drop-In Session for Absolute R Beginners!!"
"379";"April Monthly R Workshop!! (up to Intermediate-level)"
"380";"May Event - The Tour de R!! (Novice-level+) + PIZZA"
"381";"June Workshop - The Most Useful R Functions!"
"382";"August Event - Transforming a Museum to be Data-Driven using R!"
"383";"August drop-in clinic for Absolute R Beginners!! (Newbies + Mentors ONLY)"
"384";"September R Knowledge Share: Build a simple Shiny App displaying ggplot2 graphs!"
"385";"Late September Social: R Picnic in the Park!! (St. James's Park)"
"386";"Whose Scat Is That? An 'Easily Digestible' Intro to Predictive Modeling & caret!"
"387";"October event for Absolute R Beginners!! (Newbies + Mentors ONLY)"
"388";"November Tutorial: Interactive R flexdashboards!"
"389";"December Tutorial: Scalable Machine Learning in R & Python with H20"
"390";"R-Ladies London 2016 Review & Social"
"391";"January Event: Demystifying Data Science!!"
"392";"February Event: Reproducible R docs in GitHub!! (Intermediate-level­)"
"393";"Data Science CV Skills & UseR! Conference Tips"
"394";"R-Ladies Researchers Community Launch!! (MINORITY GENDERS ONLY)"
"395";"Make and host your own blog using R and GitHub"
"396";"Researchers & Students Community: Introduction to Next Generation Sequencing"
"397";"Data Science Club for Minority Genders: Job Hunting Help!"
"398";"Intro to Machine Learning with Data Scientist Barbara Fusinska!"
"399";"Tutorial: Solving iteration problems with purrr"
"400";"R-Ladies Women in Computing Seminar Series: Bioinformatics"
"401";"Hadley Wickham: What's new in the dplyr 0.7.0"
"402";"Jenny Bryan: How to find the business end of an R package and improve it"
"403";"R from scratch"
"404";"R Lightening Talks by R-Ladies"
"405";"End of Year Social"
"406";"R from Scratch"
"407";"Dive into dplyr"
"408";"R-ladies Lightening Talks April 2018"
"409";"Data in London Town"
"410";"Shiny 101"
"411";"Shiny Dashboard Workshop"
"412";"Data Science for Social Good: a Presentation by Lisa Green and Rayid Ghani"
"413";"Dog hackathon"
"414";"Interpretable Deep Learning with R, Keras and LIME"
"415";"R-Ladies Making a difference in R and Open Source"
"416";"Tidy Tuesday comes to London!"
"417";"Drop-In Code Clinic"
"418";"R Conference Round-Up! "
"419";"Linear Mixed models on repeated measurement data"
"420";"Geospatial data and analysis workshop"
"421";"Bioinformatics, effects of regulation and data.table"
"422";"Summer social!"
"423";"R in Health Sector"
"424";"Text Mining Using Tidy Data Principles"
"425";"Time series forecasting using ARIMA"
"426";"Max Kuhn presents ""Totally Tidy Tuning Tools"""
"427";"2019 Wrap-up Social "
"428";"R-Ladies Newcastle launch event and social"
"429";"June meetup"
"430";"July meetup - data visualisation"
"431";"August meetup- Summer Social"
"432";"September meetup"
"433";"October meetup"
"434";"November meetup: THE PURDUR EDIT"
"435";"R-Ladies Christmas social and yearly roundup! "
"436";"R-Ladies Nijmegen launch event"
"437";"R Markdown workshop - All levels!"
"438";"R Shiny workshop "
"439";"Visualise your data with R -- All levels welcome!"
"440";"Towards reproducible science: Power analysis"
"441";"R-Ladies Lightning talks!"
